trial_index,seed,x_meters,y_meters,distance_meters,bearing_degrees
254,972847874,9.9659,-2.6524,10.3128,345.10
255,1601379368,4.4607,11.0113,11.8805,67.95
256,1759687913,-18.4425,-5.8209,19.3393,197.52
257,949107293,-19.5798,3.5738,19.9033,169.66
258,767900734,18.3571,-5.6273,19.2003,342.96
259,1138343915,9.1131,18.0302,20.2024,63.19
260,1111766336,8.7841,7.8354,11.7709,41.73
261,1632306473,-1.5373,-19.0634,19.1252,265.39
262,417841441,9.1308,-19.8252,21.8268,294.73
263,1414890355,22.5643,-2.7008,22.7253,353.17
264,598172012,19.3106,4.1953,19.7611,12.26
265,1361746787,2.2063,-17.8318,17.9678,277.05
266,1000480702,4.9411,-12.8338,13.7522,291.06
267,2048175166,-9.9152,15.7194,18.5852,122.24
268,1243330023,-9.7962,-11.0377,14.7580,228.41
269,1550197322,-1.2128,-8.4832,8.5695,261.86
270,1697623830,-11.7033,0.8380,11.7332,175.90
271,572554623,-21.3239,-5.1947,21.9476,193.69
272,1063527803,-11.0670,13.7260,17.6318,128.88
273,956318391,-7.2334,-5.9795,9.3849,219.58
274,2075489942,2.2199,-15.5617,15.7192,278.12
275,1506637830,-9.0740,3.9580,9.8997,156.43
276,1567847664,8.9037,23.2368,24.8842,69.03
277,1105266594,-14.9310,18.1929,23.5355,129.38
278,219897999,18.7708,-7.1521,20.0872,339.14
279,2120252275,-7.7151,-10.6273,13.1325,234.02
280,1954392945,22.6565,9.7682,24.6725,23.32
281,2014881810,-6.8636,7.3079,10.0257,133.20
282,1133402702,-19.4792,10.5461,22.1509,151.57
283,1447251741,3.1452,24.3913,24.5932,82.65
284,218750362,-8.4066,17.2308,19.1722,116.01
285,1456262775,-9.9071,0.0406,9.9072,179.77
286,1732792038,-9.0993,-6.7791,11.3469,216.69
287,529622144,-3.0320,-10.3777,10.8116,253.71
288,1954448769,19.9324,-8.1698,21.5417,337.71
289,2034765159,4.8338,22.7245,23.2329,77.99
290,1935287359,-4.5137,13.7519,14.4737,108.17
291,73774223,-8.5804,11.0718,14.0074,127.77
292,1338892299,-4.4956,-12.5825,13.3615,250.34
293,871993521,11.0558,-7.5270,13.3749,325.75
294,2050372542,7.5298,17.8711,19.3926,67.15
295,9672029,-11.5507,-1.2029,11.6131,185.95
296,1860068493,-16.1969,-10.8828,19.5135,213.90
297,1009427543,8.7190,1.6633,8.8762,10.80
298,1830079640,-14.0583,-18.2574,23.0427,232.40
299,548229467,-1.3558,10.6302,10.7163,97.27
300,1676723347,12.6077,8.0578,14.9627,32.58
301,576545850,-9.3833,-3.4336,9.9918,200.10
302,325888346,-3.6584,21.7997,22.1046,99.53
303,1142789299,-3.6658,9.7952,10.4586,110.52
304,1945943579,-14.6221,13.7094,20.0438,136.85
305,830796947,4.3541,-16.4843,17.0497,284.80
306,466327564,16.5005,-18.9005,25.0897,311.12
307,708807795,-1.2726,-11.1050,11.1777,263.46
308,1670725031,21.2730,-4.2826,21.6998,348.62
309,1613693691,-0.2370,22.9092,22.9105,90.59
310,33531704,-1.5513,-8.9267,9.0605,260.14
311,654421319,15.6041,-8.9215,17.9745,330.24
312,729209294,-0.4098,22.0042,22.0080,91.07
313,795132106,10.7362,1.8559,10.8954,9.81
314,1331434617,8.9941,-15.3280,17.7720,300.40
315,1244368173,-23.5274,3.8283,23.8368,170.76
316,498903771,18.1947,4.8202,18.8224,14.84
317,1118073347,-8.0938,17.8183,19.5704,114.43
318,1196139993,-5.9970,5.3302,8.0235,138.37
319,1289392884,-1.1970,14.6161,14.6650,94.68
320,1776438396,9.0797,-7.2333,11.6087,321.46
321,470858558,11.8076,-22.0463,25.0092,298.17
322,93726397,13.6750,14.0183,19.5836,45.71
323,1356048511,8.4646,10.4457,13.4448,50.98
324,1762393610,9.9200,14.3691,17.4608,55.38
325,1623849607,12.8058,-15.4377,20.0577,309.68
326,1381145971,-12.4272,-5.4303,13.5619,203.60
327,191534282,4.0573,8.2159,9.1631,63.72
328,1053429496,7.5207,10.1968,12.6703,53.59
329,2065817913,8.8490,-0.7333,8.8794,355.26
330,1794052984,-11.8146,-5.0640,12.8541,203.20
331,558420121,16.1965,-13.3806,21.0087,320.44
332,1422670601,-21.0882,8.1495,22.6081,158.87
333,1819152179,-11.5832,8.8465,14.5750,142.63
334,443528928,-5.5925,21.0983,21.8269,104.85
335,1377847095,1.7966,20.0120,20.0925,84.87
336,1688993464,4.4992,-9.7886,10.7731,294.69
337,2138097050,8.9306,-14.3905,16.9364,301.82
338,1648791809,-8.7840,-5.0393,10.1269,209.84
339,1535437062,-1.2267,24.1621,24.1932,92.91
340,989935211,-15.3859,18.7753,24.2742,129.33
341,1023984243,-18.2751,-13.1864,22.5357,215.81
342,1006380760,-11.6114,2.3086,11.8387,168.75
343,340755078,-17.8700,10.9455,20.9557,148.51
344,2001233455,3.6238,19.3284,19.6651,79.38
345,1280866040,14.4399,11.5744,18.5062,38.71
346,1492048576,6.8830,-13.0603,14.7630,297.79
347,543760193,-19.4908,14.5932,24.3486,143.18
348,1688042551,4.5762,-17.6683,18.2513,284.52
349,806004369,-15.9496,6.1774,17.1041,158.83
350,1658251905,4.6629,14.5039,15.2350,72.18
351,741995146,22.2837,0.1059,22.2840,0.27
352,1960771197,-16.2796,16.7047,23.3254,134.26
353,540686756,10.5946,8.5133,13.5912,38.78
354,919274718,16.9593,13.0341,21.3893,37.54
355,1205864789,11.6639,-0.6675,11.6830,356.72
356,482819453,7.0436,10.6705,12.7856,56.57
357,1117323482,8.7503,-10.4308,13.6150,309.99
358,1527879336,11.4398,-10.9039,15.8039,316.37
359,322093972,0.5173,22.1337,22.1398,88.66
360,1597134623,7.7519,-2.5401,8.1575,341.86
361,274793282,-17.9880,11.1191,21.1471,148.28
362,1802861946,-7.0713,19.3667,20.6173,110.06
363,1752390765,-3.9701,-17.4349,17.8812,257.17
364,1967124354,-12.9083,7.7925,15.0781,148.88
365,1622595230,-9.3154,-3.6000,9.9868,201.13
366,1379234365,5.1383,16.5929,17.3703,72.79
367,1057540762,-10.8660,-6.1447,12.4831,209.49
368,351603178,-12.1184,2.7907,12.4356,167.03
369,2101071169,-9.1020,17.9061,20.0867,116.95
370,1702858356,-13.0678,12.7357,18.2474,135.74
371,508290368,21.6571,-10.5311,24.0818,334.07
372,1616765185,-14.2903,2.9242,14.5864,168.44
373,1808186578,13.7120,-18.7879,23.2595,306.12
374,299457673,-8.7005,-9.1112,12.5981,226.32
375,752454153,11.2835,1.4203,11.3726,7.17
376,1611961445,15.8441,10.2194,18.8539,32.82
377,1900454966,-19.4533,7.5707,20.8746,158.74
378,1502298703,-9.8287,-12.9358,16.2462,232.77
379,481527570,3.2746,-20.4120,20.6730,279.11
380,131801031,0.3539,-10.3599,10.3659,271.96
381,837385778,9.3106,-7.0250,11.6635,322.97
382,650975378,10.5549,8.5345,13.5736,38.96
383,247425127,-16.2358,6.6746,17.5543,157.65
384,407566008,-16.2649,-0.9571,16.2930,183.37
385,1052057838,-3.0692,12.5712,12.9405,103.72
386,745132571,0.9612,20.6906,20.7129,87.34
387,881983845,13.4992,5.3473,14.5197,21.61
388,899877461,15.5180,2.0142,15.6482,7.40
